target,pid,bid,env,checkout,compile,check_classfiles,gzoltar_exec_time,gzoltar_executed_tests,gzoltar_failing_tests,gzoltar_fl,flacoco_exec_time,flacoco_executed_tests,flacoco_failing_tests,flacoco_fl
1.8,Time,23,True,True,False,False,,False,False,False,,False,False,False
1.8,Time,26,True,True,False,False,,False,False,False,,False,False,False
1.8,Time,3,True,True,True,True,10.85,False,False,False,175.644,False,False,True
1.8,Time,12,True,True,False,False,,False,False,False,,False,False,False
1.8,Time,20,True,True,False,False,,False,False,False,,False,False,False
1.8,Time,9,True,True,True,True,,False,False,False,168.661,False,False,True
1.8,Time,27,True,True,False,False,,False,False,False,,False,False,False
1.8,Time,13,True,True,False,False,,False,False,False,,False,False,False
1.8,Time,24,True,True,False,False,,False,False,False,,False,False,False
1.8,Time,14,True,True,False,False,,False,False,False,,False,False,False
1.8,Time,18,True,True,False,False,,False,False,False,,False,False,False
1.8,Time,5,True,True,True,True,22.12,False,False,False,178.788,False,False,True
1.8,Time,2,True,True,True,True,21.627,False,False,False,173.377,False,False,True
1.8,Time,25,True,True,False,False,,False,False,False,,False,False,False
1.8,Time,19,True,True,False,False,,False,False,False,,False,False,False
1.8,Time,6,True,True,True,True,272.995,False,False,False,159.612,False,False,True
1.8,Time,22,True,True,False,False,,False,False,False,,False,False,False
1.8,Time,11,True,True,True,True,271.62,False,False,False,149.175,False,False,True
1.8,Time,7,True,True,True,True,,False,False,False,376.4,False,False,True
1.8,Time,8,True,True,True,True,,False,False,False,371.814,False,False,True
1.8,Time,10,True,True,True,True,48.05,False,False,False,154.681,False,False,True
1.8,Time,15,True,True,False,False,,False,False,False,,False,False,False
1.8,Time,16,True,True,False,False,,False,False,False,,False,False,False
1.8,Time,1,True,True,True,True,,False,False,False,924.673,False,False,True
1.8,Time,17,True,True,False,False,,False,False,False,,False,False,False
1.8,Time,4,True,True,True,True,374.478,False,False,True,202.612,False,False,True
1.8,Cli,23,True,True,False,False,,False,False,False,,False,False,False
1.8,Cli,26,True,True,False,False,,False,False,False,,False,False,False
1.8,Cli,3,True,True,False,False,,False,False,False,,False,False,False
1.8,Cli,21,True,True,False,False,,False,False,False,,False,False,False
1.8,Cli,12,True,True,False,False,,False,False,False,,False,False,False
1.8,Cli,20,True,True,False,False,,False,False,False,,False,False,False
1.8,Cli,9,True,True,False,False,,False,False,False,,False,False,False
1.8,Cli,27,True,True,False,False,,False,False,False,,False,False,False
1.8,Cli,13,True,True,False,False,,False,False,False,,False,False,False
1.8,Cli,24,True,True,False,False,,False,False,False,,False,False,False
