project,commit_id,clone,checkout,compile,classfiles
apache/dubbo,7de8b982fbd9e080edb91bf6ffd774ab519c0226,True,True,True,{'1.8': 3698}
debezium/debezium,d19fc234eeb6af513fa831feca3690c4af67a6a9,True,True,True,"{'1.8': 2819, '11': 18}"
apache/pinot,30c4635bfeee88f88aa9c9f63b93bcd4a650607f,True,True,True,{'11': 3708}
vert-x3/vertx-jdbc-client,f0a593a853a3b867da6b116369ebd54f6a5a4c27,True,True,True,{'1.8': 26}
vert-x3/vertx-web,643df8faff1416a318d86e39cada32c16edb134e,True,True,True,{'1.8': 365}
INRIA/spoon,17e000b58363dee4ee1687e582f13ef993b387e0,True,True,True,{'11': 1159}
apache/rocketmq,a17fa7605cfbd266e4468e6fe2d6cf6711572111,True,True,True,{'1.8': 1584}
confluentinc/kafka-connect-jdbc,ea445621b21cc762921d544c0fb83517ed0b35eb,True,True,True,{'1.8': 125}
jenkinsci/kubernetes-plugin,b9a92ea9845aa6b87beebf63e9812ccaec4e0a5a,True,True,True,{'1.8': 182}
apache/shardingsphere,938a4bcc553d350ca5936fed36965ee0c0a0c1ad,True,True,True,{'1.8': 9555}
