pid,bid,env,checkout,compile,classfiles
Chart,2,True,True,True,{'1.4': 682}
Chart,8,True,True,True,{'1.4': 608}
Chart,25,True,True,True,{'1.4': 609}
Chart,11,True,True,True,{'1.4': 608}
Chart,12,True,True,True,{'1.4': 608}
Chart,6,True,True,True,{'1.4': 609}
Chart,7,True,True,True,{'1.4': 608}
Chart,16,True,True,True,{'1.4': 607}
Chart,1,True,True,True,{'1.4': 682}
Chart,21,True,True,True,{'1.4': 610}
Chart,18,True,True,True,{'1.4': 607}
Chart,9,True,True,True,{'1.4': 608}
Chart,19,True,True,True,{'1.4': 608}
Chart,20,True,True,True,{'1.4': 610}
Chart,23,True,True,True,{'1.4': 610}
Chart,5,True,True,True,{'1.4': 625}
Chart,26,True,True,True,{'1.4': 605}
Chart,4,True,True,True,{'1.4': 661}
Chart,24,True,True,True,{'1.4': 610}
Chart,13,True,True,True,{'1.4': 608}
Chart,10,True,True,True,{'1.4': 608}
Chart,17,True,True,True,{'1.4': 607}
Chart,22,True,True,True,{'1.4': 610}
Chart,14,True,True,True,{'1.4': 608}
Chart,3,True,True,True,{'1.4': 682}
Chart,15,True,True,True,{'1.4': 607}
Collections,27,True,True,True,"{'1.7': 511, '1.5': 18}"
Collections,28,True,True,True,"{'1.7': 518, '1.5': 18}"
Collections,26,True,True,True,"{'1.7': 511, '1.5': 18}"
Collections,25,True,True,True,"{'1.7': 484, '1.5': 17}"
Codec,17,True,True,True,{'1.6': 95}
Codec,2,True,True,True,{'1.7': 28}
Codec,8,True,True,True,{'1.4': 33}
Codec,16,True,True,True,{'1.6': 92}
Codec,5,True,True,True,{'1.4': 30}
Codec,1,True,True,True,{'1.7': 26}
Codec,4,True,True,True,{'1.4': 30}
Codec,11,True,True,True,{'1.5': 76}
Codec,13,True,True,True,{'1.6': 85}
Codec,12,True,True,True,{'1.5': 77}
Codec,14,True,True,True,{'1.6': 86}
Codec,6,True,True,True,{'1.4': 33}
Codec,18,True,True,True,{'1.6': 95}
Codec,3,True,True,True,{'1.4': 30}
Codec,9,True,True,True,{'1.4': 40}
Codec,10,True,True,True,{'1.4': 40}
Codec,7,True,True,True,{'1.4': 33}
Codec,15,True,True,True,{'1.6': 92}
JacksonDatabind,8,True,True,True,"{'1.6': 569, '1.5': 18}"
JacksonDatabind,11,True,True,True,"{'1.6': 572, '1.5': 18}"
JacksonDatabind,68,True,True,True,"{'1.7': 581, '1.5': 18}"
JacksonDatabind,12,True,True,True,"{'1.6': 555, '1.5': 18}"
JacksonDatabind,74,True,True,True,"{'1.7': 582, '1.5': 18}"
JacksonDatabind,110,True,True,True,"{'1.7': 624, '1.5': 18}"
JacksonDatabind,27,True,True,True,"{'1.6': 563, '1.5': 18}"
JacksonDatabind,7,True,True,True,"{'1.6': 554, '1.5': 18}"
JacksonDatabind,30,True,True,True,"{'1.6': 564, '1.5': 18}"
JacksonDatabind,53,True,True,True,"{'1.6': 571, '1.5': 18}"
JacksonDatabind,107,True,True,True,"{'1.7': 624, '1.5': 18}"
JacksonDatabind,64,True,True,True,"{'1.7': 581, '1.5': 18}"
JacksonDatabind,63,True,True,True,"{'1.7': 581, '1.5': 18}"
JacksonDatabind,97,True,True,True,"{'1.7': 624, '1.5': 18}"
JacksonDatabind,109,True,True,True,"{'1.7': 632, '1.5': 18}"
JacksonDatabind,23,True,True,True,"{'1.6': 563, '1.5': 18}"
JacksonDatabind,45,True,True,True,"{'1.6': 571, '1.5': 18}"
JacksonDatabind,46,True,True,True,"{'1.6': 563, '1.5': 18}"
JacksonDatabind,5,True,True,True,"{'1.6': 554, '1.5': 18}"
JacksonDatabind,75,True,True,True,"{'1.7': 582, '1.5': 18}"
JacksonDatabind,79,True,True,True,"{'1.6': 572, '1.5': 18}"
JacksonDatabind,36,True,True,True,"{'1.6': 570, '1.5': 18}"
JacksonDatabind,96,True,True,True,"{'1.7': 624, '1.5': 18}"
JacksonDatabind,94,True,True,True,"{'1.6': 573, '1.5': 18}"
JacksonDatabind,89,True,True,True,"{'1.7': 583, '1.5': 18}"
JacksonDatabind,14,True,True,True,"{'1.6': 572, '1.5': 18}"
JacksonDatabind,92,True,True,True,"{'1.6': 572, '1.5': 18}"
JacksonDatabind,51,True,True,True,"{'1.7': 580, '1.5': 18}"
JacksonDatabind,84,True,True,True,"{'1.7': 583, '1.5': 18}"
JacksonDatabind,105,True,True,True,"{'1.7': 624, '1.5': 18}"
JacksonDatabind,82,True,True,True,"{'1.7': 583, '1.5': 18}"
JacksonDatabind,29,True,True,True,"{'1.6': 564, '1.5': 18}"
JacksonDatabind,98,True,True,True,"{'1.7': 624, '1.5': 18}"
JacksonDatabind,88,True,True,True,"{'1.7': 583, '1.5': 18}"
JacksonDatabind,44,True,True,True,"{'1.6': 571, '1.5': 18}"
JacksonDatabind,112,True,True,True,"{'1.7': 624, '1.5': 18}"
JacksonDatabind,77,True,True,True,"{'1.6': 572, '1.5': 18}"
JacksonDatabind,62,True,True,True,"{'1.6': 572, '1.5': 18}"
