pid,bid
Closure,106
Codec,1
Codec,2
Codec,9
Compress,1
Compress,2
Compress,3
Compress,4
Compress,5
Compress,6
Compress,7
Compress,8
Csv,1
Csv,2
Csv,3
Csv,4
Csv,5
Csv,6
Csv,7
Csv,8
Csv,9
Csv,10
Csv,11
Csv,12
Csv,13
Csv,14
Csv,15
Csv,16
Gson,1
Gson,2
Gson,3
Gson,4
Gson,5
Gson,6
Gson,7
Gson,8
Gson,9
Gson,10
Gson,11
Gson,12
Gson,13
Gson,14
Gson,15
Gson,16
Gson,17
Gson,18
JacksonCore,1
JacksonCore,2
JacksonCore,3
JacksonCore,4
JacksonCore,5
JacksonCore,6
JacksonCore,7
JacksonCore,8
JacksonCore,9
JacksonCore,10
JacksonCore,11
JacksonCore,12
JacksonCore,13
JacksonCore,14
JacksonCore,15
JacksonCore,16
JacksonCore,17
JacksonCore,18
JacksonCore,19
JacksonCore,20
JacksonCore,21
JacksonCore,22
JacksonCore,23
JacksonCore,24
JacksonCore,25
JacksonCore,26
JacksonDatabind,96
JacksonDatabind,97
JacksonDatabind,102
JacksonDatabind,103
JacksonDatabind,104
JacksonDatabind,105
JacksonDatabind,106
JacksonDatabind,107
JacksonDatabind,108
JacksonDatabind,109
JacksonDatabind,110
JacksonDatabind,111
JacksonDatabind,112
JacksonXml,5
JacksonXml,6
Jsoup,1
Jsoup,2
Jsoup,3
Jsoup,4
Jsoup,5
Jsoup,6
Jsoup,7
Jsoup,8
Jsoup,9
Jsoup,10
Jsoup,11
Jsoup,12
Jsoup,13
Jsoup,14
Jsoup,15
Jsoup,16
Jsoup,17
Jsoup,18
Jsoup,19
Jsoup,20
Jsoup,21
Jsoup,22
Jsoup,23
Jsoup,24
Jsoup,25
Jsoup,26
Jsoup,27
Jsoup,28
Jsoup,29
Jsoup,30
Jsoup,31
Jsoup,32
Jsoup,33
Jsoup,34
Jsoup,35
Jsoup,36
Jsoup,37
Jsoup,38
Jsoup,39
Jsoup,40
Jsoup,41
Jsoup,42
Jsoup,43
Jsoup,44
Jsoup,45
Jsoup,46
Jsoup,47
Jsoup,48
Jsoup,49
Jsoup,50
Jsoup,51
Jsoup,52
Jsoup,53
Jsoup,54
Jsoup,55
Jsoup,56
Jsoup,57
Jsoup,58
Jsoup,59
Jsoup,60
Jsoup,61
Jsoup,62
Jsoup,63
Jsoup,64
Jsoup,65
Jsoup,66
Jsoup,67
Jsoup,68
Jsoup,69
Jsoup,70
Jsoup,71
Jsoup,72
Jsoup,73
Jsoup,74
Jsoup,75
Jsoup,76
Jsoup,77
Jsoup,78
Jsoup,79
Jsoup,80
Jsoup,81
Jsoup,82
Jsoup,83
Jsoup,84
Jsoup,85
Jsoup,86
Jsoup,87
Jsoup,88
Jsoup,89
Jsoup,90
Jsoup,91
Jsoup,92
Jsoup,93
Time,1
Time,2
Time,3
Time,4
Time,5
Time,6
Time,7
Time,8
Time,9
Time,10
Time,11
